,rank,name,link,location,points,Total students,International students,Total faculty staff,International Students Ratio,Citations per Faculty,Employer Reputation,Employment Outcomes,Overall,International Research Network,International Faculty Ratio,Academic Reputation,Faculty Student Ratio
138,139,Politecnico di Milano,https://www.topuniversities.com/universities/politecnico-di-milano,"Milan, Italy",52.4,35205.0,7525.0,1745,54.3,53.5,76.8,39.7,52.4,87.8,57.5,67.8,5.4
139,140,The Ohio State University,https://www.topuniversities.com/universities/ohio-state-university,"Columbus, United States",52,55381.0,5991.0,6191,16.2,34.6,62.2,41.9,52,96.5,63,61.1,51.1
140,=141,Hokkaido University,https://www.topuniversities.com/universities/hokkaido-university,"Sapporo, Japan",51.9,17704.0,1984.0,2467,17.2,30,60.7,16.7,51.9,72.8,18.3,55.6,77.8
141,=141,"KIT, Karlsruhe Institute of Technology",https://www.topuniversities.com/universities/kit-karlsruhe-institute-technology,"Karlsruhe, Germany",51.9,19731.0,3758.0,2019,50.6,72,67.7,54.3,51.9,89.6,68.6,44.7,33.3
142,=143,Ghent University,https://www.topuniversities.com/universities/ghent-university,"Ghent, Belgium",51.6,39447.0,4993.0,5783,21.4,26.9,30.1,24.8,51.6,99.1,72.5,54,83.2
143,=143,Universiti Sains Malaysia (USM),https://www.topuniversities.com/universities/universiti-sains-malaysia-usm,"Gelugor, Malaysia",51.6,18570.0,5618.0,2329,75.3,13.4,66.6,6,51.6,79.6,25.4,59.7,65.2
144,145,University of Groningen,https://www.topuniversities.com/universities/university-groningen,"Groningen, Netherlands",51.4,33664.0,10529.0,3867,86.9,42.2,21.6,20.9,51.4,96.3,93.4,51.6,54.4
145,146,Lancaster University,https://www.topuniversities.com/universities/lancaster-university,"Lancaster,, United Kingdom",51.2,16362.0,5876.0,1442,94.5,82.2,30,28.3,51.2,88.9,93.3,39.6,31.5
146,=147,RWTH Aachen University,https://www.topuniversities.com/universities/rwth-aachen-university,"Aachen, Germany",51.1,41057.0,11877.0,2001,81.1,73.3,88.7,30.8,51.1,84.1,48.3,49.5,5.4
147,=147,University of Rochester,https://www.topuniversities.com/universities/university-rochester,"Rochester, United States",51.1,10364.0,3775.0,1687,95.1,55,20.1,46.5,51.1,75.1,74.9,23.8,99.3
148,149,"University of California, Santa Barbara (UCSB)",https://www.topuniversities.com/universities/university-california-santa-barbara-ucsb,"Santa Barbara, United States",50.9,25553.0,3774.0,1620,28.4,97.2,24,15.6,50.9,78.4,57.8,55.9,10.6
149,150,Al-Farabi Kazakh National University,https://www.topuniversities.com/universities/al-farabi-kazakh-national-university,"Almaty, Kazakhstan",50.8,20706.0,3523.0,4273,34.6,1.3,76.9,12.3,50.8,35.3,30.5,49.1,98.3
150,151,University of Vienna,https://www.topuniversities.com/universities/university-vienna,"Vienna, Austria",50.6,46198.0,14970.0,3971,89.2,14.1,55.3,73,50.6,96.6,98.9,69.4,24.2
151,152,McMaster University,https://www.topuniversities.com/universities/mcmaster-university,"Hamilton, Canada",50.4,27216.0,6146.0,4052,59.2,21.3,50.2,42.9,50.4,79.8,99.3,39.9,84.7
152,153,Stockholm University,https://www.topuniversities.com/universities/stockholm-university,"Stockholm, Sweden",50.1,25375.0,7800.0,2325,77.1,62.5,17.7,69.3,50.1,97.3,82,54.5,29.2
153,154,University of Waterloo,https://www.topuniversities.com/universities/university-waterloo,"Waterloo, Canada",50,35088.0,10269.0,1908,82,82.5,77.6,87.7,50,83.6,79,40.2,7
154,=155,Emory University,https://www.topuniversities.com/universities/emory-university,"Atlanta, United States",49.5,13153.0,2043.0,2613,31.1,68.7,15.7,44.5,49.5,87.7,50.1,25.2,99.1
155,=155,Indian Institute of Science,https://www.topuniversities.com/universities/indian-institute-science,"Bangalore, India",49.5,3874.0,59.0,452,1.9,100,22.9,14.8,49.5,46,11.7,37.6,56.3
156,157,Hanyang University,https://www.topuniversities.com/universities/hanyang-university,"Seoul, South Korea",49.4,22313.0,4432.0,3294,43.8,17.6,79.1,33.9,49.4,68,18.8,45,83.2
157,158,Technische Universität Berlin (TU Berlin),https://www.topuniversities.com/universities/technische-universitat-berlin-tu-berlin,"Berlin, Germany",49.3,20951.0,5640.0,2702,75,23.6,64.9,31.6,49.3,83.2,46.1,55.1,48.5
158,159,Michigan State University,https://www.topuniversities.com/universities/michigan-state-university,"East Lansing, United States",48.9,44513.0,4934.0,3030,16.9,58.9,61.4,53.6,48.9,93.2,62.1,60.5,12.9
159,160,King Fahd University of Petroleum & Minerals,https://www.topuniversities.com/universities/king-fahd-university-petroleum-minerals,"Dhahran, Saudi Arabia",48.8,7255.0,928.0,1128,21.8,50.9,24.9,66.7,48.8,70.2,100,30.3,88.5
160,161,Aarhus University,https://www.topuniversities.com/universities/aarhus-university,"Aarhus, Denmark",48.6,28173.0,3052.0,2639,16.3,55.2,33.5,33.5,48.6,95.4,87.9,55.6,32.4
161,162,University of York,https://www.topuniversities.com/universities/university-york,"York, United Kingdom",48.4,19964.0,5988.0,1974,82.1,48.6,36.1,23.7,48.4,88.9,88.1,43.3,45
162,163,University of Exeter,https://www.topuniversities.com/universities/university-exeter,"Exeter, United Kingdom",48.2,27710.0,7691.0,2571,77.7,55.3,56.1,15.9,48.2,94.8,92.3,41.1,31.5
163,=164,Texas A&M University,https://www.topuniversities.com/universities/texas-am-university,"College Station, United States",47.9,64752.0,6522.0,3049,14.7,67.8,65,36.3,47.9,91.1,24.8,61.5,5
164,=164,"University of Maryland, College Park",https://www.topuniversities.com/universities/university-maryland-college-park,"College Park, United States",47.9,37081.0,3818.0,3651,14.9,71.1,35.6,61.4,47.9,92.6,23.8,51.2,37.1
165,166,Cardiff University,https://www.topuniversities.com/universities/cardiff-university,"Cardiff, United Kingdom",47.8,29758.0,7978.0,2995,74.7,41.8,47.7,19.5,47.8,91.4,84.1,46,40.3
166,=167,Alma Mater Studiorum - University of Bologna,https://www.topuniversities.com/universities/alma-mater-studiorum-university-bologna,"Bologna, Italy",47.5,73000.0,6175.0,2913,10.8,49.7,43.1,40.7,47.5,95.1,7.8,78.5,3.5
167,=167,Universidad de Chile,https://www.topuniversities.com/universities/universidad-de-chile,"Santiago, Chile",47.5,35772.0,1916.0,2405,5.6,13.9,92,42.6,47.5,77.4,9.4,80,12.5
168,169,Eberhard Karls Universität Tübingen,https://www.topuniversities.com/universities/eberhard-karls-universitat-tubingen,"Tübingen, Germany",47.2,22545.0,3182.0,4615,26.1,14.9,21,16.6,47.2,96.5,67,44.7,96.7
169,170,Tecnológico de Monterrey,https://www.topuniversities.com/universities/tecnologico-de-monterrey,"Monterrey, Mexico",47.1,47416.0,3458.0,5946,8.6,2.2,92.8,85.6,47.1,65.1,52.9,48.8,72.9
170,171,Sapienza University of Rome,https://www.topuniversities.com/universities/sapienza-university-rome,"Rome, Italy",46.8,71824.0,6298.0,3258,11.4,50.2,36.6,55.8,46.8,98,3.4,78,4.5
171,=172,Indian Institute of Technology Bombay (IITB),https://www.topuniversities.com/universities/indian-institute-technology-bombay-iitb,"Mumbai, India",46.7,12047.0,103.0,987,1.6,55.1,86.5,76.7,46.7,58,3.9,53.3,25.8
172,=172,Western University,https://www.topuniversities.com/universities/western-university,"London, Canada",46.7,29752.0,6573.0,1312,57.2,96.9,60.5,81,46.7,86,99.8,30.6,4.6
173,=174,Ecole des Ponts ParisTech,https://www.topuniversities.com/universities/ecole-des-ponts-paristech,"Paris, France",46.5,1976.0,687.0,389,95,56.7,55.3,90.4,46.5,43.8,36.3,8.4,97.4
174,=174,Indian Institute of Technology Delhi (IITD),https://www.topuniversities.com/universities/indian-institute-technology-delhi-iitd,"New Delhi, India",46.5,10111.0,127.0,896,1.7,65.2,79.2,84.8,46.5,42.2,2.6,49,27.7
175,176,Case Western Reserve University,https://www.topuniversities.com/universities/case-western-reserve-university,"Cleveland, United States",46.2,10744.0,2575.0,1717,64.6,65.8,20.2,40.9,46.2,72.5,47.8,18.3,89.1
176,177,National Tsing Hua University,https://www.topuniversities.com/universities/national-tsing-hua-university,"Hsinchu City, Taiwan",45.9,13227.0,1572.0,1266,19.1,47.7,69,5.5,45.9,35.8,17.7,51.3,34.4
177,178,Universitat Autònoma de Barcelona,https://www.topuniversities.com/universities/universitat-autonoma-de-barcelona,"Barcelona, Spain",45.8,32395.0,3971.0,2138,20.2,66.9,28.9,20,45.8,94.1,20.7,62.2,11.8
178,=179,Technische Universität Wien,https://www.topuniversities.com/universities/vienna-university-technology,"Vienna, Austria",45.7,11256.0,3508.0,776,86.7,86.6,50.3,29.5,45.7,76.7,79.7,30.9,12.3
179,=179,University of Bath,https://www.topuniversities.com/universities/university-bath,"Bath, United Kingdom",45.7,16711.0,4990.0,1320,83.6,59.1,68.9,41,45.7,78.2,97.4,34.4,19.9
180,=181,Khalifa University,https://www.topuniversities.com/universities/khalifa-university,"Abu Dhabi, United Arab Emirates",45.6,3208.0,826.0,521,69.7,51.9,15.2,15.8,45.6,72.8,100,16.6,91.7
181,=181,University College Dublin,https://www.topuniversities.com/universities/university-college-dublin,"Dublin, Ireland",45.6,22484.0,5305.0,1852,63.1,43,46.8,64.4,45.6,87.6,98.7,48.7,22.5
182,=181,University of Pittsburgh,https://www.topuniversities.com/universities/university-pittsburgh,"Pittsburgh, United States",45.6,27425.0,2695.0,4861,13.8,37.4,16.3,44,45.6,90.3,7.9,39.9,96.3
183,184,Universitat de Barcelona,https://www.topuniversities.com/universities/universitat-de-barcelona,"Barcelona, Spain",45.5,44366.0,6308.0,3076,26.5,44.5,28.1,53.5,45.5,96.9,14.6,71.9,13.6
184,=185,University of Gothenburg,https://www.topuniversities.com/universities/university-gothenburg,"Gothenburg, Sweden",45.4,21293.0,6007.0,2688,74.4,34.4,20.1,48.7,45.4,94.9,86.9,37.4,66.1
185,=185,University of Minnesota Twin Cities,https://www.topuniversities.com/universities/university-minnesota-twin-cities,"Minneapolis, United States",45.4,33764.0,2747.0,5058,10.1,49.2,28.2,54.5,45.4,97.6,7.1,60.1,38.2
186,=185,University of Wollongong,https://www.topuniversities.com/universities/university-wollongong,"Wollongong, Australia",45.4,17520.0,4463.0,1408,70.1,88,34.1,24.2,45.4,91.4,93.9,29.4,20.9
187,188,University of Florida,https://www.topuniversities.com/universities/university-florida,"Gainesville, United States",45.3,47381.0,4143.0,6249,11.3,26.4,47,54,45.3,98,17.5,48.5,71.4
188,189,Albert-Ludwigs-Universitaet Freiburg,https://www.topuniversities.com/universities/albert-ludwigs-universitaet-freiburg,"Freiburg im Breisgau, Germany",45.2,20613.0,3731.0,2053,41,57.3,18.6,19.3,45.2,89,67.6,47.4,36.5
189,=190,RMIT University,https://www.topuniversities.com/universities/rmit-university,"Melbourne, Australia",44.6,33073.0,11594.0,1749,93.4,66,55.5,41,44.6,85.8,100,36.6,6.7
190,=190,University of Liverpool,https://www.topuniversities.com/universities/university-liverpool,"Liverpool, United Kingdom",44.6,26560.0,8272.0,2728,88.5,33.7,34.3,38.9,44.6,98.1,87.5,42.7,41.5
191,192,"The University of Newcastle, Australia (UON)",https://www.topuniversities.com/universities/university-newcastle-australia-uon,"Callaghan, Australia",44.5,11455.0,1168.0,1093,17.6,86.7,25.7,45.1,44.5,78.6,99.9,29.1,34.1
192,193,Curtin University,https://www.topuniversities.com/universities/curtin-university,"Perth, Australia",44.4,24267.0,4570.0,1696,44,89.4,41.2,20.1,44.4,93.7,100,30.5,13.9
193,194,Wuhan University,https://www.topuniversities.com/universities/wuhan-university,"Wuhan, China (Mainland)",44.3,55605.0,3588.0,3868,7.2,88.1,56.6,32.7,44.3,72.8,42.4,38.8,13.8
194,=195,Macquarie University,https://www.topuniversities.com/universities/macquarie-university,"Sydney, Australia",44.2,24512.0,7656.0,1647,88.9,74.6,48.9,53.9,44.2,88.3,93,30.9,13.6
195,=195,Université catholique de Louvain (UCLouvain),https://www.topuniversities.com/universities/universite-catholique-de-louvain-uclouvain,"Louvain-la-Neuve, Belgium",44.2,27556.0,4805.0,1308,38.4,61.7,43,49.1,44.2,89.6,89.4,49.7,5.4
196,=197,Keio University,https://www.topuniversities.com/universities/keio-university,"Tokyo, Japan",44.1,33535.0,3101.0,4042,12.4,6.6,91.9,83.7,44.1,46,10.6,50.3,60.3
197,=197,Ulsan National Institute of Science and Technology (UNIST),https://www.topuniversities.com/universities/ulsan-national-institute-science-technology-unist, South Korea,44.1,3740.0,339.0,548,12,99.9,7.4,14.9,44.1,31.7,38.3,11.8,79.8
198,199,Vanderbilt University,https://www.topuniversities.com/universities/vanderbilt-university,"Nashville, United States",43.9,12696.0,1932.0,3736,30,38.5,22.2,56.1,43.9,83,38.7,25.9,100
199,200,Technische Universität Dresden,https://www.topuniversities.com/universities/technische-universitat-dresden,"Dresden, Germany",43.6,31058.0,5275.0,4766,36,14.9,37,9.9,43.6,94.2,42.9,37.4,89.1
200,201,Rheinische Friedrich-Wilhelms-Universität Bonn,https://www.topuniversities.com/universities/rheinische-friedrich-wilhelms-universitat-bonn,"Bonn, Germany",43.3,21313.0,3369.0,4364,32.1,15.1,16.9,22.8,43.3,92.4,51.9,51.3,68.1
201,202,National Yang Ming Chiao Tung University,https://www.topuniversities.com/universities/national-yang-ming-chiao-tung-university,"Hsinchu City, Taiwan",43.2,13268.0,1968.0,1528,22.3,46.2,74.6,51.3,43.2,42.8,23.8,34.8,50.3
202,=203,Universiti Teknologi Malaysia,https://www.topuniversities.com/universities/universiti-teknologi-malaysia,"Skudai, Malaysia",43,19467.0,5468.0,2056,77.2,28.6,55.9,13.1,43,82.9,12,44.5,46.3
203,=203,University of Lausanne,https://www.topuniversities.com/universities/university-lausanne,"Lausanne, Switzerland",43,14457.0,3261.0,1467,59.1,61,16.8,53.4,43,82,99.9,30.6,43.5
204,=205,Dartmouth College,https://www.topuniversities.com/universities/dartmouth-college,"Hanover, United States",42.8,6633.0,1061.0,832,32.8,86.7,25.9,96.7,42.8,53.7,5.7,19.2,65.2
205,=205,Waseda University,https://www.topuniversities.com/universities/waseda-university,"Tokyo, Japan",42.8,43363.0,7208.0,3817,35.2,4.4,96.5,72.2,42.8,63.5,28.4,58.7,27.2
206,207,University of Bergen,https://www.topuniversities.com/universities/university-bergen,"Bergen, Norway",42.7,11918.0,832.0,1634,8,41.1,8.1,21.7,42.7,87.9,86.6,33.8,76
207,=208,Erasmus University Rotterdam,https://www.topuniversities.com/universities/erasmus-university-rotterdam,"Rotterdam, Netherlands",42.6,30817.0,6500.0,2713,53.2,54.9,47,56.1,42.6,87.1,83.2,35.6,28.3
208,=208,Qatar University,https://www.topuniversities.com/universities/qatar-university,"Doha, Qatar",42.6,10081.0,3643.0,1197,94.8,36.9,33.2,1.1,42.6,90.1,100,24.4,61.1
209,=210,Universidade Estadual de Campinas (Unicamp),https://www.topuniversities.com/universities/universidade-estadual-de-campinas-unicamp,"Campinas, Brazil",42.5,28076.0,886.0,1841,3.2,43.2,32.7,13.4,42.5,84.1,8.1,68.7,11.6
210,=210,Universite libre de Bruxelles,https://www.topuniversities.com/universities/universite-libre-de-bruxelles,"Brussels, Belgium",42.5,29267.0,9075.0,1077,86.3,67.8,50.4,49.6,42.5,82.2,96.6,34.3,4.1
211,=212,Tongji University,https://www.topuniversities.com/universities/tongji-university,"Shanghai, China (Mainland)",42.4,30360.0,5095.0,2792,35.8,87.5,10,25.9,42.4,71,66.2,33.2,26.6
212,=212,University of Twente,https://www.topuniversities.com/universities/university-twente,"Enschede, Netherlands",42.4,12421.0,4129.0,1222,90.7,67.9,36.3,9.2,42.4,82.5,98.8,20.2,37
213,214,Vrije Universiteit Amsterdam,https://www.topuniversities.com/universities/vrije-universiteit-amsterdam,"Amsterdam, Netherlands",42.3,30159.0,4875.0,2648,33.5,70,12.6,19,42.3,89.8,64.6,39.7,30
214,=215,Universidad Autónoma de Madrid,https://www.topuniversities.com/universities/universidad-autonoma-de-madrid,"Madrid, Spain",42.2,29316.0,3001.0,2894,14.7,20.8,55.5,23,42.2,89.3,9,59,37.3
215,=215,University of Göttingen,https://www.topuniversities.com/universities/university-gottingen,"Göttingen, Germany",42.2,29918.0,3999.0,3717,23.6,18.7,21.5,15.4,42.2,92.7,48.4,49.3,64.1
216,=217,Harbin Institute of Technology,https://www.topuniversities.com/universities/harbin-institute-technology,"Harbin, China (Mainland)",42,27175.0,1856.0,3024,7.8,96.5,8.9,15.4,42,64.7,9.5,26.6,50.5
217,=217,University of Otago,https://www.topuniversities.com/universities/university-otago,"Dunedin, New Zealand",42,19602.0,3222.0,1244,34.5,51.4,34.3,49.3,42,77,100,47.1,12.5
218,219,Arizona State University,https://www.topuniversities.com/universities/arizona-state-university,"Tempe, United States",41.8,49502.0,8478.0,2856,37.1,59.9,40.2,33.4,41.8,90.2,67.7,46.7,8.2
219,=220,Universidad de los Andes,https://www.topuniversities.com/universities/universidad-de-los-andes,"Bogotá, Colombia",41.6,15312.0,209.0,1201,1.8,6.1,95,66.1,41.6,56.9,30.5,62.9,19.5
220,=220,University of Aberdeen,https://www.topuniversities.com/universities/university-aberdeen,"Aberdeen, United Kingdom",41.6,12686.0,5020.0,1205,97.6,50.6,36,19,41.6,87.4,94.8,28.3,33.5
221,=222,Queensland University of Technology (QUT),https://www.topuniversities.com/universities/queensland-university-technology-qut,"Brisbane, Australia",41.5,35202.0,6403.0,1986,41.4,65.1,40,22.1,41.5,90,97.5,39.5,7.7
222,=222,The Hebrew University of Jerusalem,https://www.topuniversities.com/universities/hebrew-university-jerusalem,"Jerusalem, Israel",41.5,17044.0,1089.0,2396,7.1,28.7,23.8,89.3,41.5,74.6,63.7,34.8,78.8
223,=224,Chulalongkorn University,https://www.topuniversities.com/universities/chulalongkorn-university,"Bangkok, Thailand",41.4,33577.0,911.0,3384,2.8,6.2,63.8,93.6,41.4,75.1,9.6,65.1,34.6
224,=224,National Cheng Kung University (NCKU),https://www.topuniversities.com/universities/national-cheng-kung-university-ncku,"Tainan City, Taiwan",41.4,21260.0,2900.0,2168,22.9,22.2,71.9,17.9,41.4,51.4,27.8,47.2,40.7
225,=226,Complutense University of Madrid,https://www.topuniversities.com/universities/complutense-university-madrid,"Madrid, Spain",41.2,58159.0,6034.0,4778,15.1,10.2,57.4,67,41.2,96.4,5.7,69.2,22.3
226,=226,Southern University of Science and Technology (SUSTech),https://www.topuniversities.com/universities/southern-university-science-technology-sustech,"Shenzhen, China (Mainland)",41.2,6514.0,77.0,1206,1.7,80.9,1.7,4.2,41.2,56.9,38.2,7.8,97.7
